	description	short_description
PF00121	Triosephosphate isomerase	TIM
PF09370	TIM-barrel signal transduction protein	TIM-br_sig_trns
PF02466	Tim17/Tim22/Tim23/Pmp24 family	Tim17
PF08294	TIM21	TIM21
PF04280	Tim44-like domain	Tim44
PF11711	Inner membrane protein import complex subunit Tim54	Tim54
PF04821	Timeless protein	TIMELESS
PF05029	Timeless protein C terminal region	TIMELESS_C
PF00965	Tissue inhibitor of metalloproteinase	TIMP
PF14973	TERF1-interacting nuclear factor 2 N-terminus	TINF2_N
PF09680	Protein of unknown function (Tiny_TM_bacill)	Tiny_TM_bacill
PF08623	TATA-binding protein interacting (TIP20)	TIP120
PF14980	TIP39 peptide	TIP39
PF04176	TIP41-like family	TIP41
PF06068	TIP49 C-terminus	TIP49
PF07739	TipAS antibiotic-recognition domain	TipAS
PF12457	Tuftelin interacting protein N terminal	TIP_N
PF01582	TIR domain	TIR
PF10137	Predicted nucleotide-binding protein containing TIR-like domain	TIR-like
PF13676	TIR domain	TIR_2
PF07489	Translocated intimin receptor (Tir) C-terminus	Tir_receptor_C
PF03549	Translocated intimin receptor (Tir) intimin-binding domain	Tir_receptor_M
PF07490	Translocated intimin receptor (Tir) N-terminus	Tir_receptor_N
PF04553	Tis11B like protein, N terminus	Tis11B_N
PF13939	Toxin TisB, type I toxin-antitoxin system	TisB_toxin
PF01108	Tissue factor	Tissue_fac
PF09042	Titin Z	Titin_Z
PF00265	Thymidine kinase	TK
PF03219	TLC ATP/ADP transporter	TLC
PF07534	TLD	TLD
PF03920	Groucho/TLE N-terminal Q-rich domain	TLE_N
PF06088	Nucleopolyhedrovirus telokin-like protein-20 (TLP20)	TLP-20
PF00429	ENV polyprotein (coat polyprotein)	TLV_coat
PF14985	TM140 protein family	TM140
PF08973	Domain of unknown function (DUF1893)	TM1506
PF14512	Putative TM nitroreductase	TM1586_NiRdase
PF05154	TM2 domain	TM2
PF10149	Transmembrane protein 231	TM231
PF09072	Translation machinery associated TMA7	TMA7
PF07810	TMC domain	TMC
PF14992	TMCO5 family	TMCO5
PF09064	Thrombomodulin like fifth domain, EGF-like	Tme5_EGF_like
PF15111	TMEM101 protein family	TMEM101
PF14995	Transmembrane protein	TMEM107
PF15113	TMEM117 protein family	TMEM117
PF15109	TMEM125 protein family	TMEM125
PF14935	Transmembrane protein 138	TMEM138
PF15110	TMEM141 protein family	TMEM141
PF14857	TMEM151 family	TMEM151
PF15102	TMEM154 protein family	TMEM154
PF15106	TMEM156 protein family	TMEM156
PF14808	TMEM164 family	TMEM164
PF15052	TMEM169 protein family	TMEM169
PF15471	Transmembrane protein family 171	TMEM171
PF15009	Transmembrane protein 173	TMEM173
PF14770	Transmembrane protein 18	TMEM18
PF15100	TMEM187 protein family	TMEM187
PF15431	Transmembrane protein 190	TMEM190
PF15194	TMEM191C family	TMEM191C
PF14802	TMEM192 family	TMEM192
PF15122	TMEM206 protein family	TMEM206
PF15195	TMEM210 family	TMEM210
PF15192	TMEM213 family	TMEM213
PF14940	Transmembrane 219	TMEM219
PF15071	Transmembrane family 220, helix	TMEM220
PF14640	Transmembrane protein 223	TMEM223
PF15383	Transmembrane protein 237	TMEM237
PF15125	TMEM238 protein family	TMEM238
PF15207	TMEM240 family	TMEM240
PF15444	Transmembrane protein 247	TMEM247
PF09772	Transmembrane protein 26	Tmem26
PF15108	Voltage-dependent calcium channel gamma-like subunit protein family	TMEM37
PF15345	Transmembrane protein 51	TMEM51
PF14979	Transmembrane 52	TMEM52
PF15105	TMEM61 protein family	TMEM61
PF15121	TMEM71 protein family	TMEM71
PF15098	TMEM89 protein family	TMEM89
PF15203	TMEM95 family	TMEM95
PF03647	Transmembrane proteins 14C	Tmemb_14
PF10268	Predicted transmembrane protein 161AB	Tmemb_161AB
PF10190	Putative transmembrane protein 170	Tmemb_170
PF10269	Transmembrane Fragile-X-F protein	Tmemb_185A
PF09771	Transmembrane protein 188	Tmemb_18A
PF10160	Predicted membrane protein	Tmemb_40
PF09788	Transmembrane protein 55A	Tmemb_55A
PF05434	TMEM9	Tmemb_9
PF10267	Predicted transmembrane and coiled-coil 2 protein	Tmemb_cc2
PF11044	Plectrovirus spv1-c74 ORF 12 transmembrane protein	TMEMspv1-c74-12
PF12329	TATA element modulatory factor 1 DNA binding	TMF_DNA_bd
PF12325	TATA element modulatory factor 1 TATA binding	TMF_TATA_bd
PF06234	Toluene-4-monooxygenase system protein B (TmoB)	TmoB
PF05017	TMP repeat	TMP
PF02581	Thiamine monophosphate synthase/TENI	TMP-TENI
PF10271	Putative transmembrane protein	Tmp39
PF07851	TMPIT-like protein	TMPIT
PF10272	Putative transmembrane protein precursor	Tmpp129
PF06791	Prophage tail length tape measure protein	TMP_2
PF00721	Virus coat protein (TMV like)	TMV_coat
PF05552	Conserved TM helix	TM_helix
PF08721	TnsA endonuclease C terminal	Tn7_Tnp_TnsA_C
PF08722	TnsA endonuclease N terminal	Tn7_Tnp_TnsA_N
PF11426	Tn7 transposition regulator TnsC	Tn7_TnsC_Int
PF09035	Excisionase from transposon Tn916	Tn916-Xis
PF08053	Tryptophanese operon leader peptide	Tna_leader
PF00229	TNF(Tumour Necrosis Factor) family	TNF
PF00020	TNFR/NGFR cysteine-rich region	TNFR_c6
PF05621	Bacterial TniB protein	TniB
PF06527	TniQ	TniQ
PF05717	IS66 Orf2 like protein	TnpB_IS66
PF14198	Transposon-encoded protein TnpV	TnpV
PF14202	Transposon-encoded protein TnpW	TnpW
PF14706	Transposase DNA-binding	Tnp_DNA_bind
PF12017	Transposase protein	Tnp_P_element
PF12596	87kDa Transposase	Tnp_P_element_C
PF13842	DDE_Tnp_1-like zinc-ribbon	Tnp_zf-ribbon_2
PF03898	Satellite tobacco necrosis virus coat protein	TNV_CP
PF03459	TOBE domain	TOBE
PF08402	TOBE domain	TOBE_2
PF12857	TOBE-like domain	TOBE_3
PF05271	Tobravirus 2B protein	Tobravirus_2B
PF14249	Tocopherol cyclase	Tocopherol_cycl
PF12549	Tyrosine hydroxylase N terminal	TOH_N
PF06519	TolA C-terminal	TolA
PF04052	TolB amino-terminal domain	TolB_N
PF03349	Outer membrane protein transport protein (OMPP1/FadL/TodX)	Toluene_X
PF05494	Toluene tolerance, Ttg2	Tol_Tol_Ttg2
PF08219	Outer membrane protein TOM13	TOM13
PF06552	Plant specific mitochondrial import receptor subunit TOM20	TOM20_plant
PF04281	Mitochondrial import receptor subunit Tom22	Tom22
PF10568	Outer mitochondrial membrane transport complex protein	Tom37
PF11801	Tom37 C-terminal domain	Tom37_C
PF10642	Mitochondrial import receptor subunit or translocase	Tom5
PF08038	TOM7 family	Tom7
PF05318	Tombusvirus movement protein	Tombus_movement
PF03220	Tombusvirus P19 core protein	Tombus_P19
PF08500	Tombusvirus p33	Tombus_P33
PF15184	Mitochondrial import receptor subunit TOM6 homolog	TOMM6
PF15178	Mitochondrial import receptor subunit TOM5 homolog	TOM_sub5
PF13103	TonB C terminal	TonB_2
PF03544	Gram-negative bacterial TonB protein C-terminal	TonB_C
PF00593	TonB dependent receptor	TonB_dep_Rec
PF09239	Topoisomerase VI B subunit, transducer	Topo-VIb_trans
PF01131	DNA topoisomerase	Topoisom_bac
PF01028	Eukaryotic DNA topoisomerase I, catalytic core	Topoisom_I
PF02919	Eukaryotic DNA topoisomerase I, DNA binding fragment	Topoisom_I_N
PF14370	C-terminal topoisomerase domain	Topo_C_assoc
PF08272	Topoisomerase I zinc-ribbon-like	Topo_Zn_Ribbon
PF01751	Toprim domain	Toprim
PF13155	Toprim-like	Toprim_2
PF13362	Toprim domain	Toprim_3
PF13662	Toprim domain	Toprim_4
PF13342	C-terminal repeat of topoisomerase	Toprim_Crpt
PF13368	Topoisomerase C-terminal repeat	Toprim_C_rpt
PF08275	DNA primase catalytic core, N-terminal domain	Toprim_N
PF12886	Transducer of regulated CREB activity, C terminus	TORC_C
PF12885	Transducer of regulated CREB activity middle domain	TORC_M
PF12884	Transducer of regulated CREB activity, N terminus	TORC_N
PF06309	Torsin	Torsin
PF01533	Tospovirus nucleocapsid protein	Tospo_nucleocap
PF05518	Totivirus coat protein	Totivirus_coat
PF09121	Tower	Tower
PF15633	HYD1 signature containing ADP-ribosyltransferase	Tox-ART-HYD1
PF15634	HYE1 signature containing ADP-ribosyltransferase	Tox-ART-HYE1
PF15636	GHH signature containing HNH/Endo VII superfamily nuclease toxin	Tox-GHH
PF15635	GHH signature containing HNH/Endo VII superfamily nuclease toxin  2	Tox-GHH2
PF15656	Toxin with a H, D/N and C signature	Tox-HDC
PF15657	HNH/Endo VII superfamily nuclease toxins	Tox-HNH-EHHH
PF15637	HNH/Endo VII superfamily nuclease toxin with a HHH motif	Tox-HNH-HHH
PF15638	Metallopeptidase toxin 2	Tox-MPTase2
PF15639	Metallopeptidase toxin 3	Tox-MPTase3
PF15640	Metallopeptidase toxin 4	Tox-MPTase4
PF15641	Metallopeptidase toxin 5	Tox-MPTase5
PF15642	Toxin in Odyssella and Amoebophilus	Tox-ODYAM1
PF15644	Papain fold toxin 1	Tox-PL
PF15643	Papain fold toxin 2	Tox-PL-2
PF15645	Dermonecrotoxin of the Papain-like fold	Tox-PLDMTX
PF15646	Restriction endonuclease fold toxin 2	Tox-REase-2
PF15647	Restriction endonuclease fold toxin 3	Tox-REase-3
PF15648	Restriction endonuclease fold toxin 5	Tox-REase-5
PF15649	Restriction endonuclease fold toxin 7	Tox-REase-7
PF15650	Restriction endonuclease fold toxin 9	Tox-REase-9
PF15651	Salivary glad secreted protein domain toxin	Tox-SGS
PF15652	HNH/Endo VII superfamily toxin with a SHH signature	Tox-SHH
PF15653	URI fold toxin 2	Tox-URI2
PF15654	Toxin with a conserved tryptophan and TIP tripeptide motif	Tox-WTIP
PF14424	The  BURPS668_1122 family of deaminases	Toxin-deaminase
PF15659	JAB-like toxin  1	Toxin-JAB1
PF00087	Snake toxin	Toxin_1
PF05431	Insecticidal Crystal Toxin, P42	Toxin_10
PF07473	Spasmodic peptide gm9a	Toxin_11
PF07740	Ion channel inhibitory toxin	Toxin_12
PF07822	Neurotoxin B-IV-like protein	Toxin_13
PF07829	Alpha-A conotoxin PIVA-like protein	Toxin_14
PF07906	ShET2 enterotoxin, N-terminal region	Toxin_15
PF07945	Janus-atracotoxin	Toxin_16
PF08086	Ergtoxin family	Toxin_17
PF08087	Conotoxin O-superfamily	Toxin_18
PF08088	Conotoxin I-superfamily	Toxin_19
PF00451	Scorpion short toxin, BmKK2	Toxin_2
PF08089	Huwentoxin-II family	Toxin_20
PF08091	Spider insecticidal peptide	Toxin_21
PF08092	Magi peptide toxin family	Toxin_22
PF08093	Magi 5 toxic peptide family	Toxin_23
PF08094	Conotoxin TVIIA/GS family	Toxin_24
PF08095	Hefutoxin family	Toxin_25
PF08097	Conotoxin T-superfamily	Toxin_26
PF08099	Scorpion calcine family	Toxin_27
PF08115	SFI toxin family	Toxin_28
PF08116	PhTx neurotoxin family	Toxin_29
PF00537	Scorpion toxin-like domain	Toxin_3
PF08117	Ptu family	Toxin_30
PF08119	Scorpion acidic alpha-KTx toxin family	Toxin_31
PF08120	Tamulustoxin family	Toxin_32
PF08121	Waglerin family	Toxin_33
PF08396	Spider toxin omega agatoxin/Tx1 family	Toxin_34
PF10530	Toxin with inhibitor cystine knot ICK or Knottin scaffold	Toxin_35
PF10550	Conantokin-G mollusc-toxin	Toxin_36
PF11415	Antifungal peptide termicin	Toxin_37
PF14866	Potassium channel toxin	Toxin_38
PF15500	Putative RNase-like toxin	Toxin_39
PF00706	Anenome neurotoxin	Toxin_4
PF15520	Putative toxin 40	Toxin_40
PF15521	Putative toxin 41	Toxin_41
PF15522	Putative toxin 42	Toxin_42
PF15604	Putative toxin 43	Toxin_43
PF15523	Putative toxin 44	Toxin_44
PF15524	Putative toxin 45	Toxin_45
PF15526	Putative toxin 46	Toxin_46
PF15527	Putative toxin 47	Toxin_47
PF15528	Putative toxin 48	Toxin_48
PF15529	Putative toxin 49	Toxin_49
PF05294	Scorpion short toxin	Toxin_5
PF15530	Putative toxin 50	Toxin_50
PF15531	Putative toxin 51	Toxin_51
PF15605	Putative toxin 52	Toxin_52
PF15532	Putative toxin 53	Toxin_53
PF15533	Putative toxin 54	Toxin_54
PF15606	Putative toxin 55	Toxin_55
PF15534	Putative toxin 56	Toxin_56
PF15535	Putative toxin 57	Toxin_57
PF15536	Putative toxin 58	Toxin_58
PF15537	Putative toxin 59	Toxin_59
PF05453	BmTXKS1/BmP02 toxin family	Toxin_6
PF15607	Putative toxin 60	Toxin_60
PF15538	Putative toxin 61	Toxin_61
PF15540	Putative toxin 62	Toxin_62
PF15541	Putative toxin 63	Toxin_63
PF15542	Putative toxin 64	Toxin_64
PF15543	Putative toxin 65	Toxin_65
PF15544	Putative toxin 66	Toxin_66
PF15545	Putative toxin 67	Toxin_67
PF05980	Toxin 7	Toxin_7
PF07365	Alpha conotoxin precursor	Toxin_8
PF02819	Spider toxin	Toxin_9
PF07951	Clostridium neurotoxin, C-terminal receptor binding	Toxin_R_bind_C
PF07953	Clostridium neurotoxin, N-terminal receptor binding	Toxin_R_bind_N
PF11584	Proteinaceous host-selective toxin ToxA	Toxin_ToxA
PF07952	Clostridium neurotoxin, Translocation domain	Toxin_trans
PF11663	Toxin with endonuclease activity YhaV	Toxin_YhaV
PF13958	Toxin ToxN, type III toxin-antitoxin system	ToxN_toxin
PF02079	Nuclear transition protein 1	TP1
PF01254	Nuclear transition protein 2	TP2
PF15331	Cellular tumour antigen p53-inducible 5	TP53IP5
PF04406	Type IIB DNA topoisomerase	TP6A_N
PF12642	Conjugative transposon protein TcpC	TpcC
PF14811	Protein of unknown function TPD sequence-motif	TPD
PF04201	Tumour protein D52 family	TPD52
PF15338	p53-regulated apoptosis-inducing protein 1	TPIP1
PF04265	Thiamin pyrophosphokinase, vitamin B1 binding domain	TPK_B1_binding
PF04263	Thiamin pyrophosphokinase, catalytic domain	TPK_catalytic
PF04536	TLP18.3, Psb32 and MOLO-1 founding proteins of phosphatase	TPM
PF05724	Thiopurine S-methyltransferase (TPMT)	TPMT
PF10341	Shelterin complex subunit, TPP1/ACD	TPP1
PF12580	Tripeptidyl peptidase II	TPPII
PF12583	Tripeptidyl peptidase II N terminal	TPPII_N
PF12555	Thiamine pyrophosphokinase C terminal	TPPK_C
PF02775	Thiamine pyrophosphate enzyme, C-terminal TPP binding domain	TPP_enzyme_C
PF00205	Thiamine pyrophosphate enzyme, central domain	TPP_enzyme_M
PF02776	Thiamine pyrophosphate enzyme, N-terminal TPP binding domain	TPP_enzyme_N
PF00515	Tetratricopeptide repeat	TPR_1
PF13374	Tetratricopeptide repeat	TPR_10
PF13414	TPR repeat	TPR_11
PF13424	Tetratricopeptide repeat	TPR_12
PF13428	Tetratricopeptide repeat	TPR_14
PF13429	Tetratricopeptide repeat	TPR_15
PF13432	Tetratricopeptide repeat	TPR_16
PF13431	Tetratricopeptide repeat	TPR_17
PF13512	Tetratricopeptide repeat	TPR_18
PF14559	Tetratricopeptide repeat	TPR_19
PF07719	Tetratricopeptide repeat	TPR_2
PF14561	Tetratricopeptide repeat	TPR_20
PF09976	Tetratricopeptide repeat	TPR_21
PF07720	Tetratricopeptide repeat	TPR_3
PF07721	Tetratricopeptide repeat	TPR_4
PF12688	Tetratrico peptide repeat	TPR_5
PF13174	Tetratricopeptide repeat	TPR_6
PF13176	Tetratricopeptide repeat	TPR_7
PF13181	Tetratricopeptide repeat	TPR_8
PF13371	Tetratricopeptide repeat	TPR_9
PF07926	TPR/MLP1/MLP2-like protein	TPR_MLP1_2
PF03151	Triose-phosphate Transporter family	TPT
PF06886	Targeting protein for Xklp2 (TPX2)	TPX2
PF12214	Cell cycle regulated microtubule associated protein	TPX2_importin
PF00590	Tetrapyrrole (Corrin/Porphyrin) Methylases	TP_methylase
PF11052	Trans-sialidase of Trypanosoma hydrophobic C-terminal	Tr-sialidase_C
PF02343	TRA-1 regulated protein R03H10.4	TRA-1_regulated
PF05513	TraA	TraA
PF01963	TraB family	TraB
PF07820	TraC-like protein	TraC
PF11130	F pilus assembly Type-IV secretion system for plasmid transfer	TraC_F_IV
PF06412	Conjugal transfer protein TraD	TraD
PF09034	TRADD, N-terminal domain	TRADD_N
PF12615	F sex factor protein N terminal	TraD_N
PF05309	TraE protein	TraE
PF13728	F plasmid transfer operon protein	TraF
PF13729	F plasmid transfer operon, TraF, protein	TraF_2
PF12696	TraM recognition site of TraD and TraG	TraG-D_C
PF07916	TraG-like protein, N-terminal region	TraG_N
PF06122	Conjugative relaxosome accessory transposon protein	TraH
PF06871	TraH_2	TraH_2
PF07057	DNA helicase TraI	TraI
PF07514	Putative helicase	TraI_2
PF06586	TraK protein	TraK
PF07178	TraL protein	TraL
PF01938	TRAM domain	TRAM
PF08390	TRAM1-like protein	TRAM1
PF03798	TLC domain	TRAM_LAG1_CLN8
PF06986	Type-1V conjugative transfer system mating pair stabilisation	TraN
PF00923	Transaldolase	Transaldolase
PF11507	Ebola virus-specific transcription factor VP30	Transcript_VP30
PF04949	Transcriptional activator	Transcrip_act
PF01709	Transcriptional regulator	Transcrip_reg
PF02458	Transferase family	Transferase
PF00405	Transferrin	Transferrin
PF06495	Fruit fly transformer protein	Transformer
PF00927	Transglutaminase family, C-terminal ig like domain	Transglut_C
PF01841	Transglutaminase-like superfamily	Transglut_core
PF13369	Transglutaminase-like superfamily	Transglut_core2
PF13471	Transglutaminase-like superfamily	Transglut_core3
PF14400	Inactive transglutaminase fused to 7 transmembrane helices	Transglut_i_TM
PF00868	Transglutaminase family	Transglut_N
PF09017	Microbial transglutaminase	Transglut_prok
PF00912	Transglycosylase	Transgly
PF06737	Transglycosylase-like domain	Transglycosylas
PF04226	Transglycosylase associated protein	Transgly_assoc
PF02780	Transketolase, C-terminal domain	Transketolase_C
PF00456	Transketolase, thiamine diphosphate binding domain	Transketolase_N
PF02779	Transketolase, pyrimidine binding domain	Transket_pyr
PF01818	Bacteriophage translational regulator	Translat_reg
PF01997	Translin family	Translin
PF09799	Predicted membrane protein	Transmemb_17
PF00905	Penicillin binding protein transpeptidase domain	Transpeptidase
PF14399	NlpC/p60-like transpeptidase	Transpep_BrtH
PF11431	Membrane transport protein MerF	Transport_MerF
PF01359	Transposase (partial DDE domain)	Transposase_1
PF02371	Transposase IS116/IS110/IS902 family	Transposase_20
PF02992	Transposase family tnp2	Transposase_21
PF02994	L1 transposable element	Transposase_22
PF03017	TNP1/EN/SPM transposase	Transposase_23
PF03004	Plant transposase (Ptta/En/Spm family)	Transposase_24
PF04195	Putative gypsy type transposon	Transposase_28
PF04754	Putative transposase, YhgA-like	Transposase_31
PF00872	Transposase, Mutator family	Transposase_mut
PF13963	Transposase-associated domain	Transpos_assoc
PF02133	Permease for cytosine/purines, uracil, thiamine, allantoin	Transp_cyt_pur
PF04236	Tc5 transposase C-terminal domain	Transp_Tc5_C
PF00576	HIUase/Transthyretin family	Transthyretin
PF00486	Transcriptional regulatory protein, C terminal	Trans_reg_C
PF10626	Conjugative transposon protein TraO	TraO
PF07296	TraP protein	TraP
PF05404	Translocon-associated protein, delta subunit precursor (TRAP-delta)	TRAP-delta
PF07074	Translocon-associated protein, gamma subunit (TRAP-gamma)	TRAP-gamma
PF04051	Transport protein particle (TRAPP) component	TRAPP
PF12739	ER-Golgi trafficking TRAPP I complex 85 kDa subunit	TRAPPC-Trs85
PF12584	Trafficking protein particle complex subunit 10, TRAPPC10	TRAPPC10
PF08626	Transport protein Trs120 or TRAPPC9, TRAPP II complex subunit	TRAPPC9-Trs120
PF03896	Translocon-associated protein (TRAP), alpha subunit	TRAP_alpha
PF05753	Translocon-associated protein beta (TRAPB)	TRAP_beta
PF09679	Type-F conjugative transfer system pilin chaperone (TraQ)	TraQ
PF10624	Plasmid conjugative transfer entry exclusion protein TraS	TraS
PF05818	Enterobacterial TraT complement resistance protein	TraT
PF06834	TraU protein	TraU
PF08164	Apoptosis-antagonizing transcription factor, C-terminal	TRAUB
PF09676	Type IV conjugative transfer system lipoprotein (TraV)	TraV
PF12477	Sex factor F TraW protein N terminal	TraW_N
PF05857	TraX protein	TraX
PF05509	TraY domain	TraY
PF05261	TraM protein, DNA-binding	Tra_M
PF04956	TrbC/VIRB2 family	TrbC
PF09673	Type-F conjugative transfer system pilin assembly protein	TrbC_Ftype
PF11100	Conjugal transfer protein TrbE	TrbE
PF07283	Conjugal transfer protein TrbH	TrbH
PF03743	Bacterial conjugation TrbI-like protein	TrbI
PF09677	Type-F conjugative transfer system protein (TrbI_Ftype)	TrbI_Ftype
PF04610	TrbL/VirB6 plasmid conjugal transfer protein	TrbL
PF07424	TrbM	TrbM
PF13705	TRC8 N-terminal domain	TRC8_N
PF03461	TRCF domain	TRCF
PF03546	Treacher Collins syndrome protein Treacle	Treacle
PF00088	Trefoil (P-type) domain	Trefoil
PF01204	Trehalase	Trehalase
PF07492	Neutral trehalase Ca2+ binding domain	Trehalase_Ca-bi
PF02358	Trehalose-phosphatase	Trehalose_PPase
PF06151	Trehalose receptor	Trehalose_recp
PF09710	Treponema clustered lipoprotein (Trep_dent_lipo)	Trep_dent_lipo
PF09605	Hypothetical bacterial integral membrane protein (Trep_Strep)	Trep_Strep
